product_id,product_name,category,unit_price,quantity_sold,demand_forecast,supplier_id,lead_time_days,reorder_point,reorder_quantity,sales_velocity,stockout_risk,supplier_dependence,high_demand
1,Phyllo Dough,home goods,730.93,290,474,1,14,423,93,20.714270918377917,0.8924050444640287,0.32068964411415024,0
2,Breadfruit,home goods,816.75,371,852,2,4,169,84,92.74976812557969,0.19835680518360557,0.2264150882367901,1
3,Dried Cranberries,clothing,893.05,131,951,3,2,569,60,65.49967250163749,0.5983175541712139,0.45801523221257767,1
4,"Wine - Mas Chicet Rose, Vintage",electronics,366.32,347,574,4,17,622,1,20.411752698969,1.0836236745013297,0.0028818442973531904,1
5,Soup - Campbells Bean Medley,home goods,277.99,979,592,5,17,216,65,57.58820141870505,0.3648648587016071,0.06639427919924128,1
6,Sobe - Green Tea,clothing,189.98,10,431,6,26,395,75,0.3846152366864474,0.9164732966015477,7.4999925000075,0
7,Bread - English Muffin,electronics,423.59,641,799,7,1,597,77,640.9935900640993,0.7471839706234797,0.1201248031181778,1
8,Ecolab - Solid Fusion,home goods,674.96,796,742,8,6,831,78,132.66644555592407,1.119946076550592,0.09798994851771421,1
9,Appetizer - Asian Shrimp Roll,electronics,30.69,776,772,9,24,858,23,32.33331986111673,1.1113989493342105,0.029639174875783828,1
10,Yeast Dry - Fermipan,electronics,883.09,594,36,10,9,222,21,65.99992666674815,6.166664953704179,0.035353534758358,0
11,Lettuce - Spring Mix,home goods,494.29,421,748,11,2,60,18,210.49894750526246,0.08021390267093713,0.04275534340248591,1
12,Dikon,electronics,650.4,768,555,12,23,661,26,33.39128982987399,1.1909909695316943,0.03385416622585721,1
13,Muffin - Banana Nut Individual,electronics,864.55,290,596,13,23,475,97,12.60869017013471,0.796979852399667,0.33448274708680187,1
14,"Wine - White, Schroder And Schyl",electronics,154.38,413,408,14,20,976,34,20.649989675005163,2.392156804113804,0.08232445321248298,0
15,Soup - Base Broth Chix,clothing,265.14,901,88,15,21,699,43,42.90474147393263,7.9431809155476225,0.04772474974778302,0
16,Sole - Fillet,electronics,802.54,162,477,16,17,341,69,9.529406159172847,0.7148846810296713,0.42592589963420374,0
17,Bread - Multigrain,clothing,945.1,463,62,17,23,128,32,20.130426030249552,2.064515796045839,0.0691144693495795,0
18,Vector Energy Bar,home goods,781.56,609,962,18,19,370,93,32.052614709150156,0.38461538061730377,0.15270935709836853,1
19,Wine - Fino Tio Pepe Gonzalez,electronics,254.53,253,214,19,8,830,71,31.624960468799415,3.8785044916586684,0.28063239997500394,0
20,Creme De Menth - White,home goods,0.8,320,403,20,15,87,93,21.333319111120595,0.2158808879434023,0.29062499091796906,0
21,Raisin - Dark,electronics,67.91,419,649,21,12,731,49,34.91663756946869,1.1263482106880092,0.11694510460751541,1
22,"Nut - Hazelnut, Whole",clothing,658.04,80,907,22,25,679,19,3.199998720000512,0.748621821955658,0.2374999703125037,1
23,Cheese - Gouda,home goods,116.97,25,827,23,26,541,18,0.9615380917161186,0.6541716970475007,0.7199997120001153,1
24,Liqueur - Melon,home goods,119.45,798,881,24,15,600,19,53.199964533356976,0.6810442601470572,0.023809523511158854,1
25,"Beets - Candy Cane, Organic",electronics,317.94,593,308,25,9,229,26,65.8888156790937,0.7435064693666731,0.04384485592167191,0
26,"Tart Shells - Sweet, 2",home goods,700.09,24,458,26,18,554,13,1.3333325925930042,1.209606960488931,0.5416664409723163,0
27,Potatoes - Fingerling 4 Oz,home goods,822.75,778,881,27,26,234,99,29.92306541420561,0.2656072614573523,0.12724935569088233,1
28,Wine - Pinot Noir Stoneleigh,electronics,434.65,182,22,28,13,34,69,13.999989230777516,1.545453842975526,0.3791208582900627,0
29,Cinnamon Rolls,home goods,438.2,465,529,29,5,259,9,92.99981400037201,0.48960301531941375,0.019354838293444337,1
30,Jam - Apricot,clothing,949.4,763,797,30,30,673,23,25.433324855558382,0.8444165515129668,0.030144167363772383,1
31,"Wine - White, Chardonnay",clothing,667.73,772,297,31,5,121,83,154.3996912006176,0.4074073936899868,0.10751295197522083,0
32,Wine - Chenin Blanc K.w.v.,electronics,775.48,454,277,32,16,319,10,28.374982265636085,1.1516245071615703,0.02202643123289799,0
33,Blackberries,electronics,602.89,546,293,33,6,307,36,90.99984833358612,1.0477815342054084,0.06593406472648233,0
34,Sage Ground Wiberg,clothing,929.52,249,466,34,22,864,75,11.318176673556058,1.8540772134318195,0.30120480718052983,0
35,Wine - Cabernet Sauvignon,electronics,390.11,627,513,35,6,366,73,104.49982583362362,0.713450278490248,0.11642743036000909,1
36,Curry Powder Madras,clothing,416.78,204,99,36,19,33,28,10.736836454296602,0.33333329966330305,0.13725489523260317,0
37,"Tomatoes - Cherry, Yellow",electronics,241.28,149,996,37,25,509,79,5.959997616000954,0.5110441715758618,0.5302013066978989,1
38,Raisin - Dark,electronics,403.53,168,283,38,16,37,63,10.499993437504102,0.13074204485010443,0.37499997767857274,0
39,Beef Striploin Aaa,clothing,620.59,803,224,39,13,984,56,61.76918325447442,4.392856946747457,0.06973847982891059,0
40,Pear - Asian,electronics,813.56,933,913,40,11,530,68,84.8181047108139,0.5805038271576799,0.07288317178045904,1
41,Garlic - Peeled,clothing,574.21,727,637,41,3,928,7,242.33252555824814,1.4568288625301593,0.009628610596580323,1
42,Chips - Potato Jalapeno,clothing,335.53,930,613,42,10,605,1,92.999907000093,0.9869494129372037,0.0010752688056422709,1
43,"Split Peas - Green, Dry",home goods,870.15,709,866,43,8,180,60,88.62488921888848,0.2078521915952403,0.08462623293898121,1
44,Sauce - Ranch Dressing,clothing,537.48,497,362,44,22,860,96,22.590898822318717,2.3756905421079964,0.19315894983583604,0
45,Smirnoff Green Apple Twist,home goods,834.3,434,65,45,27,430,15,16.074068120715513,6.615383597633293,0.03456221118520251,0
46,Soupfoamcont12oz 112con,home goods,805.19,824,413,46,3,285,16,274.66575111416296,0.6900726225164014,0.019417475492506366,0
47,"Sauce - Soya, Light",electronics,940.06,567,360,47,8,949,61,70.87491140636075,2.636111037885805,0.1075837723530199,0
