product_id,product_name,category,unit_price,quantity_sold,demand_forecast,supplier_id,lead_time_days,reorder_point,reorder_quantity
220,Wine - Kwv Chenin Blanc South,2.0,0.46069921398427965,0.34969939879759515,0.2046138415245737,219.0,0.7586206896551725,0.963,0.7272727272727274
136,"Wine - Red, Colio Cabernet",1.0,0.3665873317466349,0.876753507014028,0.028084252758274825,135.0,0.3103448275862069,0.012,0.38383838383838387
78,Wasabi Powder,2.0,0.3019860397207944,0.8777555110220441,0.18956870611835508,77.0,0.3103448275862069,0.52,0.30303030303030304
202,Strawberries,0.0,0.2704354087081742,0.7775551102204409,0.40320962888665995,201.0,0.034482758620689655,0.794,0.35353535353535354
748,Extract - Almond,2.0,0.8589271785435709,0.9579158316633266,0.9869608826479438,747.0,0.06896551724137931,0.503,0.6363636363636365
43,"Split Peas - Green, Dry",2.0,0.870157403148063,0.7094188376753507,0.8686058174523571,42.0,0.24137931034482757,0.18,0.595959595959596
721,Wine - Rioja Campo Viejo,1.0,0.2654653093061861,0.12424849699398796,0.22567703109327983,720.0,0.1724137931034483,0.069,0.30303030303030304
842,Flour - Rye,1.0,0.4545690913818276,0.22144288577154306,0.19358074222668004,841.0,0.9310344827586207,0.064,0.5252525252525253
34,Sage Ground Wiberg,0.0,0.9295285905718115,0.24849699398797592,0.4674022066198596,33.0,0.7241379310344828,0.864,0.7474747474747476
596,Beef - Diced,0.0,0.9410088201764036,0.9158316633266533,0.8996990972918756,595.0,0.034482758620689655,0.388,0.0
613,Beef - Top Sirloin - Aaa,0.0,0.04922098441968839,0.8286573146292585,0.06318956870611836,612.0,0.7241379310344828,0.022,0.7575757575757577
778,Pomegranates,0.0,0.6502230044600893,0.7334669338677354,0.11334002006018054,777.0,0.4827586206896552,0.804,0.8181818181818183
178,"Syrup - Monin, Amaretta",0.0,0.5975019500390009,0.11322645290581161,0.7552657973921766,177.0,0.3448275862068965,0.162,0.8181818181818183
632,"Tomatoes - Vine Ripe, Yellow",1.0,0.19391387827756557,0.8897795591182365,0.08926780341023069,631.0,0.9310344827586207,0.485,0.21212121212121213
25,"Beets - Candy Cane, Organic",1.0,0.3179363587271745,0.593186372745491,0.30892678034102306,24.0,0.27586206896551724,0.229,0.25252525252525254
190,Arrowroot,0.0,0.28827576551531026,0.29358717434869736,0.316950852557673,189.0,0.7241379310344828,0.62,0.04040404040404041
678,Towel - Roll White,2.0,0.6286725734514691,0.25250501002004005,0.3410230692076229,677.0,0.7931034482758621,0.085,0.16161616161616163
259,Easy Off Oven Cleaner,0.0,0.008280165603312064,0.6352705410821643,0.26278836509528586,258.0,0.3793103448275862,0.621,0.48484848484848486
